Depth,qc,fs,Inclination,dummy,fs/qc
4.49,19.173,0.195,1.02,1.6,0.010170552339227
4.5,19.091,0.194,1.01,1.6,0.0101618563721125
4.51,19.052,0.194,1.01,1.6,0.0101826579886626
4.52,19.056,0.193,1,1.6,0.0101280436607893
4.53,19.059,0.192,1,1.6,0.0100739807964741
4.54,19.074,0.191,1,1.6,0.0100136311208976
4.55,19.226,0.191,0.99,1.6,0.00993446374700926
4.56,19.35,0.191,0.99,1.6,0.00987080103359173
4.57,19.397,0.191,0.99,1.6,0.00984688353869155
4.58,19.393,0.191,0.99,1.6,0.00984891455679885
4.59,19.347,0.191,0.99,1.6,0.00987233162764253
4.6,19.265,0.191,0.99,1.6,0.00991435245263431
4.61,19.255,0.191,0.99,1.6,0.00991950142820047
4.62,19.255,0.191,0.99,1.6,0.00991950142820047
4.63,19.279,0.191,0.99,1.6,0.00990715286062555
4.64,19.365,0.191,0.99,1.6,0.00986315517686548
4.65,19.386,0.191,0.99,1.6,0.00985247085525637
4.66,19.389,0.19,0.99,1.6,0.00979937077724483
4.67,19.407,0.19,0.98,1.6,0.00979028185706188
4.68,19.357,0.19,0.98,1.6,0.00981557059461693
4.69,19.315,0.189,0.98,1.6,0.00978514108206057
4.7,19.272,0.189,0.98,1.6,0.00980697384806974
4.71,19.251,0.188,0.98,1.6,0.00976572645576853
4.72,19.208,0.188,0.98,1.6,0.00978758850478967
4.73,19.162,0.188,0.98,1.6,0.00981108443795011
4.74,19.148,0.187,0.98,1.6,0.00976603300605807
4.75,19.148,0.187,0.97,1.6,0.00976603300605807
4.76,19.148,0.187,0.97,1.6,0.00976603300605807
4.77,19.162,0.187,0.97,1.6,0.00975889781859931
4.78,19.169,0.186,0.97,1.6,0.00970316657102614
4.79,19.247,0.186,0.96,1.6,0.00966384371590378
4.8,19.283,0.186,0.96,1.6,0.00964580200176321
4.81,19.382,0.186,0.95,1.6,0.00959653286554535
4.82,19.45,0.186,0.95,1.6,0.00956298200514139
4.83,19.585,0.186,0.94,1.6,0.00949706407965279
4.84,19.645,0.186,0.94,1.6,0.00946805803003309
4.85,19.787,0.186,0.94,1.6,0.00940011118411078
4.86,19.84,0.186,0.94,1.6,0.009375
